STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
WCOLLOCL_BSS_U1,1221,9.9,9.9,19.8,9.9,0.96,0.96,COASTAL,fallback_2h
W_HARLIN_BESS,261,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
WOVER_UNIT1,759,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
WR_BESS1,1803,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
WIG_ESS_BES1,2418,122.9,122.9,491.6,245.8,0.96,0.96,NORTH,fallback_4h
WFTANK_ESS1,1482,150.4,150.4,150.0,75.0,0.96,0.96,SOUTH,eia860
WORSHAM_BESS1,480,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
ADL1_BESS1,1498,60.1,60.1,120.2,60.1,0.96,0.96,HOUSTON,fallback_2h
ZIER_SLR_BES1,25,40.1,40.1,80.0,40.0,0.96,0.96,SOUTH,eia860
ELMCRK_BESS1_1,1597,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
ABINDUST_BESS1,553,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
Z01_BESS1,1346,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
BY_BESS1,1659,10.0,10.0,20.0,10.0,0.96,0.96,HOUSTON,fallback_2h
STADIUM_BESS,1482,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
BEXAR_ES_BESS1,1346,102.3,102.3,409.2,204.6,0.96,0.96,SOUTH,fallback_4h
BIG_STAR_BESS,2084,80.0,80.0,160.0,80.0,0.96,0.96,SOUTH,fallback_2h
BYP_BESS1,1221,207.9,207.9,831.6,415.8,0.96,0.96,HOUSTON,fallback_4h
CARTWHL_BESS1,1577,154.2,154.2,616.8,308.4,0.96,0.96,NORTH,fallback_4h
COTULLA_BESS1,1920,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
E_HARRIS_BESS1,261,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
ELMCRK_BESS1_2,1597,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
