osm_id,osm_type,name,voltage_kv,operator,substation_type,lat,lon
504635078,way,Fairland Substation,138.0,Pedernales Electric Cooperative,distribution,30.645131,-98.258172
504707374,way,Blewett Substation,138.0,Lower Colorado River Authority,distribution,29.200262,-100.038035
504783096,way,Andice Substation,138.0,Pedernales Electric Cooperative,transmission,30.749038,-97.875943
504783132,way,Burnet Substation,138.0,Lower Colorado River Authority,transmission,30.759218,-98.237385
504849080,way,Copperas Cove East Substation,138.0,Oncor,distribution,31.111805,-97.875228
504849089,way,Copperas Cove Substation,138.0,Oncor,distribution,31.113301,-97.907103
504849091,way,Lampasas Substation,138.0,Lower Colorado River Authority,transmission,31.084316,-98.18373
504849103,way,Copperas Cove Substation,138.0,Pedernales Electric Cooperative,distribution,31.109835,-97.961025
504849106,way,Kempner Substation,138.0,Brazos Electric,distribution,31.091312,-98.05401
504849109,way,Naruna Substation,138.0,Lower Colorado River Authority,distribution,31.047625,-98.190895
504849112,way,E. Babe Smith Substation,138.0,Pedernales Electric Cooperative,distribution,30.991502,-98.198256
504849114,way,Dobbyville Substation,138.0,Pedernales Electric Cooperative,distribution,30.952544,-98.262695
504849115,way,Graphine Mine Substation,138.0,Pedernales Electric Cooperative,distribution,30.806523,-98.353282
508455308,way,Friendship Substation,138.0,Pedernales Electric Cooperative,distribution,30.166849,-97.945265
508455310,way,Buda Substation,138.0,Pedernales Electric Cooperative,transmission,30.075408,-97.851452
508455349,way,Goforth Substation,138.0,Pedernales Electric Cooperative,distribution,29.992453,-97.841603
508455364,way,Rohr Substation,138.0,Pedernales Electric Cooperative,industrial,29.935593,-97.878948
508530553,way,Holly Plant Switchyard,69.0,Austin Energy,transmission,30.25094,-97.719759
508542015,way,Harris Substation,69.0,University of Texas at Austin,distribution,30.288155,-97.732588
508542024,way,Fiesta Substation,69.0,Austin Energy,distribution,30.29497,-97.718712
508684669,way,Bullick Hollow Substation,138.0,Austin Energy,distribution,30.40322,-97.85696
509006454,way,McNeil Substation,138.0,Austin Energy,transmission,30.39303,-97.689254
509006493,way,McNeil Substation,138.0,Lower Colorado River Authority,transmission,30.395064,-97.68926
509006502,way,Cameron Substation,138.0,Austin Energy,distribution,30.339826,-97.68625
509273341,way,Daffan Gin Substation,138.0,Austin Energy,distribution,30.309589,-97.615411
509586591,way,Paige Substation,138.0,Bluebonnet Electric Cooperative,distribution,30.2144,-97.134836
509586593,way,Butler Substation,138.0,Bluebonnet Electric Cooperative,distribution,30.389489,-97.324838
509586604,way,Smithville Substation,138.0,Lower Colorado River Authority,transmission,30.020511,-97.15783
509586610,way,Rosanky Substation,69.0,Bluebonnet Electric Cooperative,distribution,29.929337,-97.311315
509607715,way,Potranco Substation,138.0,CPS Energy,distribution,29.446062,-98.657506
509640573,way,,138.0,,transmission,30.566649,-97.06667
509663231,way,Buckholts Substation,69.0,Brazos Electric,distribution,30.850483,-97.194522
509663233,way,Talbert Ridge Substation,138.0,Brazos Electric,distribution,30.68444,-96.968035
509663242,way,Rockdale Substation,138.0,Oncor,distribution,30.670996,-97.018946
509663245,way,Rockdale North Substation,69.0,Oncor,distribution,30.672924,-97.019208
509663249,way,Salty Substation,138.0,Brazos Electric,distribution,30.596226,-97.132599
509663251,way,Thorndale North Substation,138.0,Oncor,distribution,30.62,-97.211137
509979993,way,Atkins Substation,69.0,Bryan Texas Utilities,distribution,30.646651,-96.374385
