ercot_substation,lat,lon,match_source,confidence,score,matched_name,load_zone,max_voltage_kv,eia_plant_code,osm_id,propagated_from
APACHE,29.378767,-94.947537,osm,high,100,Apache Substation,LZ_HOUSTON,138.0,,338794653,
APOGEE,29.233882,-95.187062,propagated,low,0,,LZ_WEST,345.0,,,AMOCOOIL
APOLLO,32.953915,-96.677248,osm,high,100,Apollo Substation,LZ_NORTH,138.0,,284553655,
APPALOSA,29.271,-98.456,propagated,low,0,,LZ_WEST,138.0,,,BEXAR_ES
APPLE,31.740751,-102.213176,propagated,low,0,,LZ_WEST,138.0,,,PEGAS
APTXCITY,35.093889,-101.326111,propagated,low,0,,LZ_HOUSTON,138.0,,,GOODNIT1
AQDCT,32.128234,-101.818895,propagated,low,0,,LZ_WEST,138.0,,,TRIANGLE
AQUILLA,29.271,-98.456,propagated,low,0,,LZ_NORTH,345.0,,,BEXAR_ES
AR,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK
ARAGORN,31.719983,-104.442292,eia860,medium,85.9,Aragorn Solar Project,LZ_WEST,138.0,63329,,
ARANSASP,27.927092,-97.181908,osm,medium,88.2,Aransas Pass Substation,LZ_SOUTH,138.0,,514740534,
ARC,29.8,-95.3,lz_centroid,none,0,,LZ_HOUSTON,138.0,,,
ARCADIA,27.745716,-97.421778,osm,high,100,Arcadia Substation,LZ_SOUTH,138.0,,371318816,
ARCO,26.22939,-98.008742,propagated,low,0,,LZ_NORTH,138.0,,,WESLACO
ARCOPL,29.348213,-94.93945,osm,medium,88.2,ARCO Substation,LZ_HOUSTON,69.0,,583928763,
ARCO__,31.440623,-102.459118,osm,high,100,Arco Substation,LZ_WEST,138.0,,499938049,
ARETP,28.197778,-97.444953,propagated,low,0,,LZ_WEST,138.0,,,CRANELL
ARGENTA,29.0,-98.0,lz_centroid,none,0,,LZ_SOUTH,69.0,,,
ARGYL,32.865417,-97.099401,propagated,low,0,,LZ_NORTH,138.0,,,EULES
ARLNG,29.271,-98.456,propagated,low,0,,LZ_NORTH,138.0,,,BEXAR_ES
ARLQD,31.08298,-102.393733,propagated,low,0,,LZ_NORTH,138.0,,,SOAPTREE
ARLQE,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
ARM,30.645131,-98.258172,propagated,low,0,,LZ_HOUSTON,138.0,,,FAIRLA
ARMDL02,35.40238,-101.15404,propagated,low,0,,LZ_WEST,69.0,,,RAILHEAD
ARMST,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
ARMSTRON,26.927215,-97.789684,osm,high,100.0,Armstrong Substation,LZ_SOUTH,138.0,,513693626,
AROWHEAD,31.286739,-96.877205,propagated,low,0,,LZ_WEST,138.0,,,MARION
ARPCM,32.865417,-97.099401,propagated,low,0,,LZ_NORTH,69.0,,,EULES
ARPMN,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,69.0,,,
ARPRD,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
ARROTT,31.073616,-100.509679,osm,high,97.3,Arrot Substation,LZ_WEST,69.0,,346768837,
ARROWHD,35.105558,-101.81344,osm,medium,89.9,Arrowhead Substation,LZ_WEST,138.0,,174868349,
ARROWHDC,35.105558,-101.81344,osm,medium,85.6,Arrowhead Substation,LZ_WEST,138.0,,174868349,
ARROWHDP,35.105558,-101.81344,osm,medium,85.6,Arrowhead Substation,LZ_WEST,138.0,,174868349,
ARROZ,29.0,-98.0,lz_centroid,none,0,,LZ_SOUTH,138.0,,,
ARTHR,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,
ARYSW,34.769544,-102.052422,propagated,low,0,,LZ_WEST,138.0,,,ASTRA
ARY_BESS,29.271,-98.456,propagated,low,0,,LZ_SOUTH,345.0,,,BEXAR_ES
ASCK_SLR,32.295946,-102.54,propagated,low,0,,LZ_NORTH,345.0,,,BAKKE
ASHERTON,27.318515,-97.810266,propagated,low,0,,LZ_SOUTH,138.0,,,LOYOLA
ASHPD,26.523359,-99.017108,propagated,low,0,,LZ_WEST,138.0,,,STARR
ASHSW,33.048156,-97.034996,propagated,low,0,,LZ_NORTH,138.0,,,WEAST
ASHWDS,35.093889,-101.326111,propagated,low,0,,LZ_SOUTH,138.0,,,GOODNIT1
ASPERM9,33.177995,-100.233435,osm,medium,83.6,Aspermont Substation,LZ_WEST,69.0,,519749909,
