uid,from_bus,to_bus,voltage_kv,length_km,capacity_mva,reactance
L194_2415,194,2415,345.0,0.31,1200,8.429e-05
L801_1633,801,1633,345.0,51.96,2400.0,0.01396887
L1719_3057,1719,3057,345.0,8.19,1200,0.00220145
L788_2406,788,2406,345.0,7.73,2400.0,0.00207925
L814_2267,814,2267,345.0,132.38,2400.0,0.03558917
L824_2270,824,2270,345.0,40.4,2400.0,0.0108611
L2282_2283,2282,2283,345.0,24.69,2400.0,0.00663818
L862_2111,862,2111,345.0,24.2,2400.0,0.00650556
L3092_3094,3092,3094,345.0,0.52,1200,0.00013846
L2391_3038,2391,3038,345.0,3.51,1200,0.00094294
L525_837,525,837,345.0,6.45,2400.0,0.00173333
L1565_2965,1565,2965,345.0,0.46,1200,0.00012291
L991_2431,991,2431,345.0,2.04,2400.0,0.00054759
L1540_1743,1540,1743,345.0,13.09,2400.0,0.00351979
L2283_2346,2283,2346,345.0,21.08,2400.0,0.00566811
L1891_3034,1891,3034,345.0,19.1,2400.0,0.00513564
L2615_3117,2615,3117,345.0,3.18,1200,0.0008549
L1628_3096,1628,3096,345.0,9.24,1200,0.00248437
L1739_1807,1739,1807,345.0,32.82,2400.0,0.008824
